name,link
Jungle Boys Ocala,https://weedmaps.com/dispensaries/jungle-boys
AYR Cannabis Dispensary Eustis,https://weedmaps.com/dispensaries/liberty-health-sciences-eustis
The Flowery - Inverness,https://weedmaps.com/dispensaries/the-flowery-inverness
AYR Cannabis Dispensary Clermont,https://weedmaps.com/dispensaries/ayr-cannabis-dispensary-clermont
Curaleaf - Clermont,https://weedmaps.com/dispensaries/curaleaf-clermont
Trulieve - Apopka,https://weedmaps.com/dispensaries/trulieve-apopka
Trulieve - Brooksville,https://weedmaps.com/dispensaries/trulieve-brooksville
AYR Cannabis Dispensary Orlando (North OBT),https://weedmaps.com/dispensaries/ayr-cannabis-dispensary-orlando-north-obt
Sunnyside Medical Cannabis Dispensary Orlando - West,https://weedmaps.com/dispensaries/sunnyside-medical-cannabis-dispensary-orlando-west
Curaleaf - Spring Hill,https://weedmaps.com/dispensaries/curaleaf-spring-hill
AYR Cannabis Dispensary Lake Mary,https://weedmaps.com/dispensaries/ayr-cannabis-dispensary-lake-mary
MÜV Dispensary Longwood,https://weedmaps.com/dispensaries/muv-longwood
Trulieve - Orlando,https://weedmaps.com/dispensaries/trulieve-orlando
Cookies Orlando,https://weedmaps.com/dispensaries/cookies-orlando
AYR Cannabis Dispensary Longwood,https://weedmaps.com/dispensaries/ayr-cannabis-dispensary-longwood
Surterra Wellness Center – Deltona,https://weedmaps.com/dispensaries/surterra-wellness-center-deltona
Sunnyside Medical Cannabis Dispensary (formerly One Plant) - Fern Park,https://weedmaps.com/dispensaries/sunnyside-medical-cannabis-dispensary-orlando-fern-park
Curaleaf - Sanford,https://weedmaps.com/dispensaries/curaleaf-sanford
BWell - Viejo San Juan,https://weedmaps.com/dispensaries/bwell-viejo-san-juan
Fluent - Tallahassee,https://weedmaps.com/dispensaries/fluent-tallahassee
Green Dragon - Tallahassee Monroe St,https://weedmaps.com/dispensaries/green-dragon-tallahassee-monroe-st
Curaleaf - Tallahassee,https://weedmaps.com/dispensaries/curaleaf-tallahassee
VidaCann - Tallahassee,https://weedmaps.com/dispensaries/vidacann-tallahassee
